"","spearman p-value","spearman correlation","pearson p-value","pearson correlation"
"COG0573",2.88497454930796e-51,-0.910340107076294,4.43149626082428e-43,-0.877899355204552
"COG0581",3.05936131572641e-47,-0.895710518394926,3.01475718251227e-42,-0.873959385068713
"COG1117",1.1654064496602e-46,-0.893399672122309,1.55891261468628e-41,-0.870474390865757
"COG0226",1.3279151153482e-46,-0.893171234066402,9.20493234437021e-41,-0.866590940337821
"COG1392",1.4484567617283e-30,0.80128679137635,4.67501597893335e-22,0.718201964522888
"COG3638",4.37169155107732e-19,-0.679768978719114,7.13695377703141e-17,-0.646763394938033
"COG3625",1.74973419614295e-18,-0.671192176022265,6.79885853505046e-09,-0.479602180488621
"COG3624",1.37944415032363e-17,-0.657870786245205,7.12408631920618e-09,-0.479033986603177
"COG4107",8.22913384067697e-14,-0.593254730813668,1.53988478228113e-08,-0.469508473462019
"COG3709",9.6177030326644e-14,-0.591949276496036,1.58083294156644e-09,-0.496839066890435
"COG4778",1.16997963524644e-13,-0.590300219133347,4.234154570447e-09,-0.485303073752141
"COG3454",1.64077460674535e-13,-0.587432254191041,6.05775095279741e-09,-0.481001210834357
"COG3626",3.91737394770943e-13,-0.579920043663626,1.73808530194386e-08,-0.467985458615313
"COG1653",7.868965510274e-13,-0.573757337130935,1.05475394343782e-10,-0.526489894063828
"COG3627",7.8903122793939e-13,-0.573733148807198,1.27457223110163e-08,-0.471872347851506
"COG2764",1.23267817962028e-07,0.442251238706278,9.46098936130854e-10,0.502684414920496
"COG0395",1.6388953737316e-07,-0.438326350228332,1.06185974938308e-05,-0.374299341754705
"COG4985",1.38282587840141e-05,-0.369757146083535,0.0202400318186633,-0.202694677918138
"COG0704",7.34448358908548e-05,-0.339326434978479,4.33510253606704e-06,-0.389219209644218
"COG1134",0.00013030437096652,0.328110983602926,0.000298792072263029,0.311066805841651
"COG1840",0.00107800154029561,-0.282509022658129,8.79896542222873e-06,-0.377491137969982
"COG3221",0.0481106079951332,-0.173031569650625,0.00350144626781403,-0.253364809114425
"COG3639",0.887563886219122,-0.0124721315442,0.0452193352807711,-0.175291541641946
